loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,policy_code,loan_status,Partition
9100,9100, 36 months,12.42%,304.08,B,B4,Bellhelicopter,6 years,MORTGAGE,66000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=993747,,other,Other Loan,761xx,TX,18.51,0,3/1/00,1,,92,11,1,9947,34.1,25,f,1,0,H
30000,30000, 60 months,11.99%,667.19,B,B5,Kantor Taylor Nelson Boyd & Evatt PC,1 year,MORTGAGE,162500,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=839935,"  Borrower added on 08/04/11 > This Loan is intended to consolidate and refinance outstanding credit card debt.  Most of this debt relates to medical expenses and other out of budget expenditures. <br/><br/>I am current on all outstanding obligations with no late payments or other public records. <br/><br/>I have been employed without interruption since 1996 and my bcurrent job is very stable.  Health insurance in my current job is signifcantly better than in my prior job, and covers a greater proportion of our medical expenditures, reducing our &quot;out of budget&quot; medical expenses.  This Loan will allow us to shave approximately $300 per month from our monthly budget.  My intent with this savings is to cut back on credit card expenditures, and establish a reserve to be used to cover other unexpected expenses while repaying this loan.  The goal is to be debt free (other than mortgage and student loan) by the maturity date of this Loan.<br/> Borrower added on 08/08/11 > This loan is intended to refinance existing credit card debt.  Most of this credit card relates to medical expenses and other &quot;out of budget&quot; expenses.<br/><br/>I am and have been current on all outstanding debts with no late payments or public records.  My current job is very stable.  My current job also has much better medical insurance, which covers a greater portion of our medical expenses.  Because we are now spending less out of pocket on medical expenses, I believe this loan should allow me to bring our overall debt load down.  My goal is to use any addtional available cash to prepay this loan and be debt free (other than mortgage and student loan), with 36-48 months.<br/>",debt_consolidation,Consolidation Loan,972xx,OR,6.85,0,7/1/87,0,,,6,0,22595,62.8,22,f,1,0,H
10000,10000, 36 months,7.75%,312.22,A,A3,SweetBay Supermarkets,6 years,RENT,24000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=218331,"I am would like to purchase a mobile home, the house I am renting is in foreclosure and I need to move. The real estate market here is falling daily and I don't think it is yet time to buy a house. I have found a mobile home I would like purchase, but the banks will not make loans on a mobile home unless it is less than 5 years old.",major_purchase,Mobile home purchase,339xx,FL,0,0,8/1/97,0,0,0,3,0,5028,12.1,4,f,1,1,H
5000,5000, 36 months,10.74%,163.08,B,B4,Kaiser Permanente,3 years,MORTGAGE,132996,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=659745,"  Borrower added on 01/22/11 > Personal loan for unanticipated legal fees. I have a long history of uninterrupted employment and of meeting my financial commitments. I am employed in the Healthcare industry in a very stable long term position.<br/> Borrower added on 01/24/11 > Legal fees mentioned are for retention of a Family Law attorney.<br/><br/>I am a single parent with one child in college and one in high school. I'm an Information Technology professional with 17 years in the field. <br/><br/>After having worked in the semi-conductor and software development industries, I went back to school in 2006 while working full time in order to move my career into Healthcare. Even in this down economy it is a stable industry in which to be employed. I completed my degree in 2008.<br/>",other,Personal legal fees,945xx,CA,19.1,0,3/1/91,2,44,,18,0,19269,54.1,47,f,1,1,H
10000,10000, 36 months,13.72%,340.42,C,C5,SPRING HEATING  and  AC,10+ years,RENT,96000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=636399,"  Borrower added on 12/21/10 > This money will be used for the home improvement cost of my newly purchased home which was closed escrow last Friday, 12/17/2010. The house is a good buy although it has some TLC needed. I have used my money towards downpayment and closing cost and got short to finance some renovation. My son and i are hoping to make some home improvement before we move-in.<br/>",home_improvement,10K,914xx,CA,16.66,0,4/1/00,5,36,,13,0,2280,13.9,25,f,1,0,H
5000,5000, 36 months,13.23%,169.03,C,C1,CHILDREN'S AID SOCIETY,2 years,RENT,57692.16,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=561605,,major_purchase,Dewin ,100xx,NY,1.44,0,1/1/07,0,,,5,0,1801,50.4,5,f,1,0,H
18000,10000, 36 months,10.46%,324.84,B,B5,Wells Fargo,8 years,RENT,84000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=214969,I want to consolidate my credit card and loan accounts to a more manageable monthly payment. Thanks for your consideration,debt_consolidation,debt consolidation loan,958xx,CA,16.67,0,11/1/95,4,0,0,14,0,6673,32.6,35,f,1,0,H
30000,30000, 60 months,13.49%,690.15,C,C1,Sweetwater Fire Department,10+ years,MORTGAGE,58000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=879569,,debt_consolidation,Debt Consalidation,795xx,TX,22.3,0,1/1/97,1,,,10,0,14893,44.2,28,f,1,0,H
20000,20000, 60 months,10.36%,428.5,B,B5,Janus Capital Group LLC,7 years,RENT,285000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=637908,"  Borrower added on 12/22/10 > I have a secure job with great pay.  I simply have 3 1/2 years more to make alimony payments so would like a little extra cash cushion.  I am a skilled member of the investment banking legal community.<br/> Borrower added on 12/22/10 > I have a secured job and am well paid.  I have 3 1/2 years more of alimony to pay so it would be nice to have a little more cash cushion over this time period.  I work in an investment firm as a senior member of the legal team and am focused on financial product design.  I don't have any problem at all paying my bills and have great credit.<br/> Borrower added on 12/27/10 > There have been a few questions so thought I would provide a couple more details.  It would seem odd that with 23k a month coming in that I need a cushion.  The reality is that after taxes that is 16k (+/-) and my alimony/child support payment is currently 10k so that leaves me 6k in cash each month.  My thought is that (and I won't break down my bills in granular format) I could use an extra 500 to 1k a month and this is a good way to get that backstop.  Importantly, there is a time horizon on these large payments as my lovely ex-wife gets her last payment in 2014.  So, I see the light at the end of the tunnel.<br/><br/>Other question has been is there real estate exposure on my books or something else creating a real liability.  The answer is no.  I am just renting right now and will buy eventually.  I gave her the house in the divorce.  Maybe I should use this money for better lawyers? ;).  Actually, everything is very clean and mutually friendly.  Hope that makes sense to a few of you.  Happy Holidays.<br/>",other,General Loan,802xx,CO,6.09,0,7/1/93,0,,,15,0,19402,29.1,31,f,1,0,H
12000,12000, 60 months,15.96%,291.57,C,C5,MORNING STAR FOODS,1 year,MORTGAGE,60000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=997090,"  Borrower added on 10/21/11 > THIS LOAN I APPLY FOR IS TO CONSOLIDATE SOME HIGH INTEREST CARD I HAVE, BY DOING SO I WILL BE SAVING SOME MONEY IN INTEREST BUT MORE IMPORTANLY I WILL BE DEBT FREE FASTER. I HAVE A GREAT AND STABLE JOB WICH I LIKE VERY MUCH. I MAKE ENOUGH MONEY NOW TO PAY WHAT I OWE BUT THIS LOAN WILL MAKE IT EASIER FOR ME BY JUST HAVING ONE PAYMENT INSTED OF 5. I AM A VERY RESPONSABLE PERSON AND CARE VERY MUCH ABOUT MY CREDIT THATS WHY EVERYTHING I OWE IS UP TO DATE AND JUST WANT TO BE DEBT FREE LIKE EVERY ONE. EVERTHING I'VE OWE IN MY LIFE I PAY SO I CAN TELL YOU THAT I CAN BE TRUSTED AND I WILL PAY EVERY LAST DOLLAR. THANK YOU.<br/>",debt_consolidation,LOAN,060xx,CT,11.82,1,11/1/00,1,8,,13,0,12932,60.1,21,f,1,0,H
2000,2000, 36 months,10.38%,64.9,B,B1,HealthSource of Bethlehem,2 years,RENT,30000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=550253,"  Borrower added on 07/20/10 > I have been working hard to support myself since age 16.  I have supported myself through college (still paying a little left) to get a degree in Criminal Justice, and have run into a tight time!  <br/><br/>I've been working two jobs for as long as I can remember, and recently got my full time job's hours cut almost in half due to financial strain within the franchise and my position is slowly being phased out.  Thankfully, I was able to pick up more hours at job #2 to cover bills, etc, but now I have to pay health insurance on my own since I am not full time at either job.  I have recently had a medical emergency, and accrued a little credit card debt trying to cover my regular monthly bills, health insurance, &amp; unexpected medical bills.  <br/><br/>I'm doing all I can, and have been doing great so far juggling this all alone, but I need to pay off the only credit card I have before it gets me in too deep.  I have moved in with my boyfriend who is not asking for a dime towards rent, utilities, or groceries so that I can put all my money and efforts towards getting these debts paid off quicker than ever.<br/><br/>It would be such a great relief and help to be able to do this!   I am and have always been a very responsible person financially, and know that with my dependable income (although coming from two separate places), it is within my budget to pay this loan off with no problem whatsoever. <br/><br/>Thank you so much for your time and consideration.<br/>",other,Jasmine,180xx,PA,16.8,0,1/1/01,2,60,,9,0,1555,32.4,29,f,1,0,H
11000,11000, 36 months,13.85%,375.15,C,C4,Boston Medical Center,3 years,MORTGAGE,75000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=491487,,debt_consolidation,Credit card consolidation,021xx,MA,9.95,0,9/1/93,1,45,,22,0,15659,72.5,63,f,1,0,H
1500,1500, 36 months,18.64%,54.72,E,E1,LA County Federation of Labor,< 1 year,RENT,18000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=995470,,vacation,Loan,918xx,CA,9.93,0,2/1/06,0,,,2,0,6892,98.5,6,f,1,0,H
20000,20000, 36 months,15.33%,696.57,D,D3,Township of North Bergen,3 years,RENT,65004,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=486441,"  Borrower added on 04/20/10 > Have never been late on a payment<br/>Always Pay on time<br/>As a Police officer very stable job<br/> Borrower added on 04/21/10 > Pay increase of $10,000 in June<br/> Borrower added on 04/21/10 > Payment will be made by direct withdrawal from bank account<br/>",debt_consolidation,Money 2010,070xx,NJ,23.46,0,3/1/01,3,,,7,0,13147,99.6,37,f,1,0,H
12000,12000, 36 months,10.74%,391.39,B,B4,Sunrise Management,7 years,RENT,85000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=701366,  Borrower added on 03/14/11 > Daugher and Fiance have to travel to Asia to visit Grandma in time for 11 mo. old daughter's bday. Purpose of loan is just to add extra cushion in case of financial emergency in the next few months as well as cover some debt expenses.<br/>,small_business,Vacation & Bday Loan,913xx,CA,18.24,0,7/1/98,1,39,,15,0,13641,28.8,27,f,1,0,H
6000,6000, 36 months,7.51%,186.66,A,A4,AT&T,10+ years,MORTGAGE,75181,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=483645,,car,Personal loan for collector car,300xx,GA,18.31,0,12/1/93,0,,,11,0,26463,37.6,30,f,1,0,H
3000,3000, 36 months,11.49%,98.92,B,B4,Comcast,6 years,RENT,42000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=841017,,wedding,Wedding,212xx,MD,3,0,9/1/03,0,33,,3,0,3688,67.1,11,f,1,0,H
10000,10000, 36 months,15.27%,347.98,C,C4,Kelly Scientific Sercives,< 1 year,RENT,64000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1048392,"  Borrower added on 11/30/11 > I have a stable job, just need to consolidate debt from coming out of some life changing events. I am looking for a new beginning and being able to get rid of the debt is part of it.<br>",debt_consolidation,Debt Consolidation Loan,208xx,MD,3.64,0,2/1/02,3,,85,3,1,6565,69.1,10,f,1,0,H
4000,4000, 36 months,12.61%,134.03,D,D1,"Arbor Properties, Inc.",1 year,RENT,30900,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=320318,Purpose of loan: This loan will be used toäó_ Pay off high interest credit cards and improve my credit.  My financial situation: I am a good candidate for this loan becauseäó_ I am trying diligently to restore good credit and pay off all my debt after a disastrous divorce - I make payments on time and am more than happy to make the payments automatic. I would like to regain control over my money and I believe this would help me achieve that.    I don't plan on opening any more revolving credit cards and I hope to one day purchase a house as a single woman on my own.  Thanks for considering my request! ,debt_consolidation,Pay off high interest credit cards,323xx,FL,22.83,0,8/1/01,2,,97,9,1,2876,61.2,14,f,1,0,H
2500,2500, 36 months,12.87%,84.09,C,C1,Honstein Oil Co,< 1 year,RENT,34368,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=466600, ,other,David,875xx,NM,13.86,2,5/1/91,1,7,,4,0,7565,27,17,f,1,0,H
11000,11000, 36 months,7.49%,342.12,A,A4,Ok Army National Guard,10+ years,MORTGAGE,62400,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=798385, We will be using the money to make improvements to our home.,home_improvement,Home Improvement Loan,735xx,OK,22.6,0,7/1/93,0,43,,12,0,15997,31.2,26,f,1,0,H
7000,7000, 36 months,12.61%,234.55,C,C2,Wheelabrator Technologies Inc.,2 years,MORTGAGE,68000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=647641,  Borrower added on 01/06/11 > My goal with this loan is to pay off and consolidate several relatively small credit cards. This will streamline what I call the financial &quot;clutter&quot; in my monthly payments that I dislike very much.<br/>I have held this job since 10/2008 and previously I was employed with the same company for 29+ years before resigning to begin my current job.<br/>,debt_consolidation,Debt Consolidation Loan,051xx,VT,10.43,0,6/1/92,0,34,,6,0,3821,79.6,12,f,1,0,H
10000,10000, 36 months,13.49%,339.31,C,C1,C&S Whole Sale Grociers,< 1 year,RENT,26400,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1053090,,debt_consolidation,The Last Stand,010xx,MA,13.95,0,4/1/02,0,70,,7,0,8032,78,12,f,1,1,H
9250,9250, 36 months,12.23%,308.25,C,C1,Rasmussen College,< 1 year,OWN,37000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=647897,"  Borrower added on 01/05/11 > I am looking for a loan to reduce my debt and lower the interest on them to save more in the future. My credit cards currently accrue 29.99% interest rate on them. I am working full time at Rasmussen College. I have been there for about 6 months now. Previously, I was employed at TCF National Bank, St. Anthony, MN. I was the senior assistant manager at TCF and have been with them or almost 5 years. I left for a better salary and a different work environment and better benefis.<br/>",debt_consolidation,Debt Consolidation,554xx,MN,10.09,0,12/1/03,0,44,,7,0,9718,46,10,f,1,0,H
5600,5600, 36 months,5.42%,168.9,A,A1,Harland Clarke,10+ years,MORTGAGE,70000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=868268,  Borrower added on 08/30/11 > Loan to refinance credit card<br/>,credit_card,Refinance,327xx,FL,18.69,0,2/1/79,0,,,13,0,58952,23.1,24,f,1,0,H
3000,3000, 36 months,6.39%,91.8,A,A1,"Nielsen Beaumont Marine, Inc.",< 1 year,RENT,37000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=521740,  Borrower added on 05/27/10 > I plan to use my funds to pay off my credit card.  It is a high rate credit card and I am looking for a better way to pay it off (lower rate and more structured payment schedule).  I am an accountant with a very stable job and have always been a good borrower.<br/>,credit_card,Credit Card,921xx,CA,13.62,0,5/1/80,0,,,8,0,4030,28.2,17,f,1,0,H
1750,1750, 36 months,13.61%,59.48,C,C2,Maple Shade Mazada,3 years,MORTGAGE,38400,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=521462,,major_purchase,major purchase,080xx,NJ,16.34,0,5/1/96,0,25,,4,0,434,43.4,15,f,1,1,H
9000,9000, 36 months,11.26%,295.77,B,B2,Sungard Higher Education,< 1 year,RENT,84996,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=373984,I was lucky to recently find a good solid job. After 6 months of unemployment my credit card debt increased. Recently I noticed that my credit card companies have aggressively raised their rates. I am looking for an alternative to the 20+ percent interest rates now in effect on my cards. Either way I can easily manage to pay off my debt. A lower interest rate does make more sense. Additionally a single source to which I make payments offers the additional advantage of simplicity.,debt_consolidation,Debt Reduction,798xx,TX,7.45,0,5/1/94,1,,,9,0,8827,34.3,17,f,1,0,H
23500,17825, 36 months,14.72%,615.47,C,C5,us army,5 years,RENT,58704,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=522820,  Borrower added on 06/02/10 > i'm going to use the funds to pay off 10 credit cards that i currently pay 1085 a month so 812 to one payment will be a lot easier to pay<br/> Borrower added on 06/02/10 > I'm a good borrower because im never late on a payments and i usually pay loans off ahead of time<br/>,credit_card,debt,799xx,TX,20.93,0,9/1/02,0,,,11,0,14016,61,17,f,1,0,H
9050,9050, 60 months,20.53%,242.45,G,G2,DG,2 years,MORTGAGE,85000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=550404,,house,me,805xx,CO,15.4,3,7/1/98,5,11,,8,0,1182,84.4,23,f,1,0,H
6000,6000, 36 months,12.23%,199.95,C,C1,Goldman Sachs,10+ years,MORTGAGE,109200,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=631987,  Borrower added on 12/13/10 > i have worked for 14.5 years at my current Company. <br/>No late Mortgage payments ever.<br/>,debt_consolidation,debt ,088xx,NJ,5.91,0,6/1/97,0,,,6,0,3963,84.7,19,f,1,0,H
10000,10000, 36 months,8.59%,316.11,A,A4,ALLSTATE INSURANCE COMPANY,10+ years,MORTGAGE,88500,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=451933,,educational,Consolidation Loan,330xx,FL,8.83,0,12/1/89,0,,,13,0,75336,32.6,31,f,1,0,H
16000,16000, 60 months,16.77%,395.67,D,D2,Matson Navigation Company,10+ years,MORTGAGE,120000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1028145,,debt_consolidation,consolidation,967xx,HI,16.44,0,6/1/87,0,40,,8,0,48482,88.1,25,f,1,0,H
33600,33600, 60 months,14.27%,786.53,C,C2,Bradley University,10+ years,RENT,86000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1046117,"  Borrower added on 11/29/11 > The funds will be used to consolidate my three sources of debt.<br>I have excellent credit scores.<br>21 years of employment with the same employer, with extreme job stability.<br>",debt_consolidation,consolidate,616xx,IL,20.57,0,4/1/91,0,,,6,0,45043,57,18,f,1,0,H
8000,8000, 36 months,14.26%,274.45,C,C5,JPMorgan Chase,3 years,RENT,70000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=462526, 578657 added on 11/22/09 > I am looking to refinance my credit cards. I was never late on any payments. I always pay back.<br/> 578657 added on 11/22/09 > I am looking to refinance my credit cards. I was never late on my credit card payments. I will pay back<br/>,credit_card,Will Pay Back,111xx,NY,18.48,0,12/1/91,0,35,,21,0,7862,71.5,35,f,1,0,H
15000,15000, 60 months,13.49%,345.08,C,C1,Temple University,< 1 year,RENT,50000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=886982,  Borrower added on 09/17/11 > I have great credit and a stable day job.  I plan on using the funds to expand a small business I have on the side to increase my inventory to meet a growing demand.<br/>,small_business,Small Business loan,189xx,PA,13.08,0,2/1/00,3,41,,8,0,1250,9,19,f,1,0,H
21250,21250, 36 months,10.25%,688.18,B,B2,MassMutual Life Insurance,3 years,RENT,53000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=495259,,credit_card,Consolidation,010xx,MA,24.09,0,9/1/96,3,53,,7,0,13851,60.5,22,f,1,0,H
10000,10000, 36 months,5.99%,304.18,A,A2,Tuscany  Eyewear,10+ years,RENT,84000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=868236,,other,college,331xx,FL,17.17,0,1/1/94,3,,,9,0,3001,31.9,21,f,1,0,H
25000,25000, 36 months,9.33%,798.84,B,B3,Amadeus Home Music School,1 year,RENT,100000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=184296,"www.music-housecalls.com--The Amadeus Home Music School will be using the loan to expand our Home Music Lesson business which currently has 250 instructors in 17 states.  The expansion will be to add Ontario and other states within the United States of America.  This will assist us in paying our first few months of Google charges.  With Google we have generated a 5 to 1 return. Our web presence is at the top of Google, Yahoo and MSN in the sponsored links.  Please take a look at our work and consider funding our expansion.",small_business,"Year 1 $250,000",100xx,NY,1.57,0,7/1/90,5,28,0,9,0,17,0.1,15,f,1,1,H
4500,4500, 60 months,17.80%,113.79,F,F1,Corning Hospital,4 years,MORTGAGE,60000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=605874,"  Borrower added on 10/29/10 > I would like to thank the various investors that are considering taking on this loan.  I have been employed as a Financial Analyst at a hospital for the past four years.  I make a decent living for myself.  However, the furnace in my house recently broke and I am now left to replace it.  To add to the issue my wife is 17 weeks pregnant with our first child.  Thus, making this loan imperative.<br/>",home_improvement,Home Improvement,149xx,NY,22,0,11/1/97,7,33,,20,0,9820,59.2,46,f,1,0,H
4000,4000, 36 months,12.73%,134.27,C,C1,Franchise Tax Board,10+ years,RENT,48804,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=493703,"  Borrower added on 03/11/10 > I have worked with the State of California for 27 years.  Currently I am a Personnel Specialist.  I plan on consolidating the following bills:  Visa, Target, Walmart, JC Penney`s and 2008 taxes.<br/>",debt_consolidation,Loan,956xx,CA,8.73,0,4/1/98,3,69,,6,0,3000,53.6,14,f,1,1,H
7000,7000, 36 months,20.11%,260.53,G,G5,Sea World of Florida,10+ years,RENT,30000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=375969,"consolidation credit card,medical expenses and personal payday loans into one loan.",debt_consolidation,debt consolidation,328xx,FL,10.44,0,8/1/07,4,,88,10,1,6402,80,11,f,1,0,H
8000,8000, 36 months,15.27%,278.39,C,C4,GREEN CHOICE LIVING,2 years,OWN,108000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1058892,  Borrower added on 12/06/11 > minor home improvements<br> Borrower added on 12/07/11 > i have been employed in the same industry without any lapse of employment since 1995. I have never been late on a loan payment<br>,house,HOME IMPROVEMENT,906xx,CA,12.48,0,12/1/01,1,,,12,0,10957,81.8,19,f,1,1,H
2000,2000, 36 months,14.96%,69.3,D,D2,Coca Cola North America,4 years,MORTGAGE,36000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=502595,,debt_consolidation,Finacial Freedom,326xx,FL,20.8,0,8/1/01,0,,,12,0,1822,56.9,17,f,1,0,H
18000,18000, 36 months,16.29%,635.41,D,D1,Inspectorate ,10+ years,OWN,140000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1060966,,debt_consolidation,debt consolidation,775xx,TX,21.8,0,1/1/00,1,,,14,0,34809,90.2,35,f,1,0,H
11500,11500, 60 months,15.58%,277.1,D,D3,Intel,4 years,MORTGAGE,71000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=578933,,credit_card,Credit Card Consolidation,852xx,AZ,24.66,0,9/1/01,0,,,10,0,31452,84.1,14,f,1,1,H
3000,3000, 36 months,7.05%,92.7,A,A1,Orange County Public Schools,5 years,RENT,38000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=441817,This is to pay off one of my credit cards.,credit_card,Citi Loan,328xx,FL,16.8,0,9/1/00,2,,,8,0,4088,15,19,f,1,0,H
30000,30000, 60 months,16.77%,741.88,E,E2,Davis Selected Advisors,4 years,RENT,65000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=732147,"  Borrower added on 04/17/11 > The funds will be used to pay off credit card debt.<br/>I'm never late and never miss a payment.  I just want to get this debt under control.<br/>Monthly income exceeds monthly liabilities, just unable to get credit cards paid off.<br/>Stable job, been with company nearly 4 years.  Promoted.<br/> Borrower added on 04/17/11 > The entire loan will be used to consolidate credit card balances.  I have never missed a credit card payment and always pay at or above the minimum required monthly payment.  I want to get this debt in order and paid off in 5 years.<br/>",debt_consolidation,ant3300,871xx,NM,19.27,0,4/1/97,1,,,13,0,21191,77.9,52,f,1,0,H
5375,4950, 36 months,12.21%,164.91,B,B5,Build A Bear,1 year,MORTGAGE,22000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=370084,"Greetings,  I am looking for a loan to consolidate some high interest credit card debt that I have accumulated through a two moves - Chicago to LA, LA to St. Louis - to be with my girlfriend in her search for higher education. I am a photographer so moving means re-establishing myself professionally with every move so there has been a need for credit. The amount I owe is manageable but I recently realized that I'm working so hard to service my interest rates, not my debt.... that's frustrating. I would very much like to propose to her by the end of this year but do not want to accumulate any more debt with what is already looming and to save with my double digit interest rates makes no sense.  Thank you for you time.  Regards, btucker   ",debt_consolidation,Consolidate Pesky high interest rates,631xx,MO,22.8,0,6/1/94,0,66,,12,0,10128,46,20,f,1,0,H
8000,8000, 36 months,7.51%,248.88,A,A4,Barnes Jewish Hospital,9 years,MORTGAGE,45000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=391358,To pay of Bills,credit_card,CCdebt,620xx,IL,13.95,0,4/1/99,1,,,7,0,10891,26.9,17,f,1,0,H
10750,10750, 36 months,12.23%,358.24,C,C1,Allied TPro,3 years,MORTGAGE,78750,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=645783,,debt_consolidation,Lisa's Bills,967xx,HI,13.33,0,3/1/86,3,31,,12,0,12601,36.6,22,f,1,0,H
4500,4500, 36 months,8.00%,141.02,A,A3,Alltel,4 years,RENT,20004,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=375282,I am using my personal long to go ahead and pay some recent medical expensives and perfect my credit in the process.,debt_consolidation,Personal Loan,361xx,AL,13.74,0,7/1/80,0,,,9,0,3223,4,28,f,1,0,H
5500,5500, 36 months,14.91%,190.42,D,D2,Toddler Town Daycare LLC,2 years,RENT,21700,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=651704,"  Borrower added on 01/11/11 > I moved out of my parent's house last year, and with that came a lot of spending that I hadn't counted on. I would really like to get my debts paid off so I can enjoy my new situation instead of constantly worrying about my credit card bills. I have a good job working at a daycare center which I will have been at for 3 years in April, and I am very responsible when it comes to paying my bills on time. Please consider lending to me, it would mean a great deal to me!<br/>",debt_consolidation,Credit Card Consolidation,136xx,NY,18.3,0,11/1/07,0,,,9,0,7637,58.3,11,f,1,1,H
10000,10000, 36 months,5.79%,303.27,A,A2,Northwest Community Hospital,3 years,OWN,50000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=603242,,credit_card,CC Loan Payoff,607xx,IL,16.22,0,10/1/00,0,,,7,0,9669,27.2,22,f,1,0,H
6000,6000, 36 months,14.61%,206.86,D,D1,DISA CONUS,1 year,RENT,45000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=474330,"  Borrower added on 01/05/10 > After putting myself through my undergrad and getting a great full time job, I've decided to start grad school.  Unfortunately, my high interest credit card bills are putting a real crunch on my budget.  I'm doing this consolidation so I can get myself back on track!  As you can see I've never missed a payment, and I have a great job, so repayment won't be a problem.  Thanks for looking and THANKS for helping!<br/> Borrower added on 01/05/10 > More details about my loan:<br/>My job is with DISA CONUS, which is part of the Department of Defense.  Since I am employed with the government (a Civilian employee) my job is extremely secure and very stable.  I am actually part of a student/intern program that is training me for management.<br/>I plan on using this loan to repay credit card debt.  I have a car loan and some student loans left to repay, but I'm not too worried about them at the moment.  It's just the credit cards that need to go!  <br/>I majored in Business Administration for my undergrad at Illinois State University, and I'm getting my masters at Webster University, in Information Technology Management.<br/>If you have any more questions, please ask!<br/>",debt_consolidation,Fresh Start Loan,622xx,IL,16.67,0,9/1/03,2,,,16,0,7367,79.8,20,f,1,0,H
